content_id,place_title,concentration_title,concentration_aliases,match_status,match_method,confidence_score,verified_at
130446,가회민화박물관,가회민화박물관,[],matched,exact,1.0000,
294439,감로암(서울),감로암(서울),[],matched,exact,1.0000,
126508,경복궁,경복궁,[],matched,exact,1.0000,
,,경운동민병옥가옥,[],unmatched,,,
2782735,국립경찰박물관,경찰박물관,[],matched,manual,1.0000,2026-07-29T18:36:23+09:00
126484,경희궁,경희궁,[],matched,exact,1.0000,
132183,광장시장,광장시장,[],matched,exact,1.0000,
126512,광화문,광화문,[],matched,exact,1.0000,
775394,광화문광장,광화문광장,[],matched,exact,1.0000,
,,구공업전습소본관,[],unmatched,,,
129811,국립고궁박물관,국립고궁박물관,[],matched,exact,1.0000,
2545920,국립어린이과학관,국립어린이과학관,[],matched,exact,1.0000,
1934593,국립현대미술관 서울,국립현대미술관 서울,[],matched,exact,1.0000,
,,그라운드시소 서촌,[],unmatched,,,
298109,금선사(서울),금선사(서울),[],matched,exact,1.0000,
2553377,김달진미술자료박물관,김달진미술자료박물관,[],matched,exact,1.0000,
129501,낙산공원,낙산공원,[],matched,exact,1.0000,
699222,낙원동 아구찜 거리,낙원동 아구찜 거리,[],matched,exact,1.0000,
299980,대각사(서울),대각사,[],matched,normalized,1.0000,
126534,대학로,대학로,[],matched,exact,1.0000,
1849416,대한민국역사박물관,대한민국역사박물관,[],matched,exact,1.0000,
,,돈의문박물관마을,[],unmatched,,,
1187220,동대문 문구완구거리 (창신동 문구완구시장),동대문 문구완구거리,[],matched,normalized,1.0000,
130851,동림매듭공방,동림매듭공방,[],matched,exact,1.0000,
1603677,동십자각,동십자각,[],matched,exact,1.0000,
2707460,딜쿠샤,딜쿠샤,[],matched,exact,1.0000,
130365,떡박물관,떡박물관,[],matched,exact,1.0000,
126487,마로니에공원,마로니에공원,[],matched,exact,1.0000,
231976,목인박물관 목석원,목인박물관 목석원,[],matched,exact,1.0000,
128872,낙산묘각사,묘각사(서울),[],matched,manual,1.0000,2026-07-29T18:31:03+09:00
1603543,무궁화동산,무궁화동산,[],matched,exact,1.0000,
809372,백사실계곡,백사실계곡,[],matched,exact,1.0000,
605497,보성사터,보성사터,[],matched,exact,1.0000,
126516,보신각터,보신각 터,[],matched,normalized,1.0000,
,,보안1942,[],unmatched,,,
,,부엉이박물관,[],unmatched,,,
809190,북악산,북악산,[],matched,exact,1.0000,
126943,북악스카이 팔각정,북악스카이 팔각정,[],matched,exact,1.0000,
231971,북촌생활사박물관,북촌생활사박물관,[],matched,exact,1.0000,
126537,북촌한옥마을,북촌한옥마을,[],matched,exact,1.0000,
127942,사직공원(서울),사직공원(서울),[],matched,exact,1.0000,
2638477,산마루 놀이터,산마루놀이터,[],matched,normalized,1.0000,
130931,삼성출판박물관,삼성출판박물관,[],matched,exact,1.0000,
126488,삼청공원,삼청공원,[],matched,exact,1.0000,
945824,서울 경교장,서울 경교장,[],matched,exact,1.0000,
250338,서울 관상감 관천대,서울 관상감 관천대,[],matched,exact,1.0000,
126522,서울 동관왕묘,서울 동관왕묘,[],matched,exact,1.0000,
704507,서울 동대문 닭한마리 골목,서울 동대문 닭한마리 골목,[],matched,exact,1.0000,
126517,서울 문묘와 성균관,서울 문묘와 성균관,[],matched,exact,1.0000,
250358,서울 우정총국,서울 우정총국,[],matched,exact,1.0000,
127454,서울 운현궁,서울 운현궁,[],matched,exact,1.0000,
735749,서울 종로 낙지볶음 골목,서울 종로 낙지볶음 골목,[],matched,exact,1.0000,
