content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,list_fetched_at
129854,14,가나아트센터,서울특별시 종로구 평창30길 28 (평창동),37.6122904729365,126.97512913242,11,110,VE,VE07,VE070600,2026-03-11T10:03:40+09:00,2026-08-02T04:22:59.960433+09:00
129898,14,가람화랑,서울특별시 종로구 인사동10길 11 (관훈동),37.57428367900436,126.98561394586464,11,110,VE,VE07,VE070600,2026-03-18T10:10:05+09:00,2026-08-02T04:22:59.960433+09:00
2733967,12,가회동성당,서울특별시 종로구 북촌로 57 (가회동),37.5820334711,126.9846467509,11,110,HS,HS03,HS030200,2026-07-13T16:31:48+09:00,2026-08-02T04:22:59.960433+09:00
130446,14,가회민화박물관,서울특별시 종로구 북촌로 52 (가회동),37.58154429,126.9852783115,11,110,VE,VE07,VE070100,2025-10-23T14:30:00+09:00,2026-08-02T04:22:59.960433+09:00
2622715,39,감꽃당,서울특별시 종로구 돈화문로11다길 38,37.5738480486,126.9900725369,11,110,FD,FD05,FD050100,2025-09-18T14:15:06+09:00,2026-08-02T04:22:59.960433+09:00
294439,12,감로암(서울),서울특별시 종로구 율곡로23길 16 (충신동),37.57532850974662,127.00663769536024,11,110,HS,HS03,HS030100,2026-03-05T09:58:51+09:00,2026-08-02T04:22:59.960433+09:00
4080919,12,감사의 정원,서울특별시 종로구 세종대로 175 (세종로),37.5733087047,126.9764826207,11,110,VE,VE03,VE030500,2026-07-03T08:56:30+09:00,2026-08-02T04:22:59.960433+09:00
2847165,39,강촌쌈밥,서울특별시 종로구 평창30길 9,37.610762927,126.9747812177,11,110,FD,FD01,FD010100,2025-01-10T16:00:59+09:00,2026-08-02T04:22:59.960433+09:00
3486753,39,갗,서울특별시 종로구 난계로27길 30-8 (숭인동) 1층,37.57337170729832,127.02149760459812,11,110,FD,FD05,FD050300,2026-04-17T17:48:25+09:00,2026-08-02T04:22:59.960433+09:00
2848108,39,개뿔,서울특별시 종로구 낙산성곽서1길 26 (이화동),37.5782311958,127.0080624399,11,110,FD,FD05,FD050100,2025-09-24T09:55:27+09:00,2026-08-02T04:22:59.960433+09:00
398373,39,개성만두 궁,서울특별시 종로구 인사동10길 11-3 (관훈동),37.5743229103,126.9854257249,11,110,FD,FD01,FD010100,2025-03-11T13:42:19+09:00,2026-08-02T04:22:59.960433+09:00
2812755,39,갤러리 더 스퀘어,서울특별시 종로구 계동길 128 서울빌라,37.5829672963278,126.987011812893,11,110,FD,FD05,FD050100,2026-02-27T15:10:44+09:00,2026-08-02T04:22:59.960433+09:00
130577,14,갤러리 라메르,서울특별시 종로구 인사동5길 26 (관훈동),37.5726342077,126.9848841554,11,110,VE,VE07,VE070600,2025-11-27T16:02:38+09:00,2026-08-02T04:22:59.960433+09:00
130568,14,갤러리 미즈,서울특별시 종로구 삼일대로 461 (경운동) 101동 B105,37.5756088859,126.986217283,11,110,VE,VE07,VE070600,2025-03-17T10:46:37+09:00,2026-08-02T04:22:59.960433+09:00
129846,14,갤러리 비앤에스,서울특별시 종로구 자하문로 273 (부암동),37.59799618859837,126.9619349361608,11,110,VE,VE07,VE070600,2026-02-11T08:10:09+09:00,2026-08-02T04:22:59.960433+09:00
130190,14,갤러리 시몬,서울특별시 종로구 자하문로6길 20 (통의동),37.57805384843639,126.97325148840206,11,110,VE,VE07,VE070600,2026-03-19T09:49:59+09:00,2026-08-02T04:22:59.960433+09:00
745873,14,갤러리 엠,서울특별시 종로구 삼일대로 445,37.57421922787454,126.98693092845947,11,110,VE,VE07,VE070600,2026-02-13T15:33:25+09:00,2026-08-02T04:22:59.960433+09:00
129917,14,갤러리 현대,서울특별시 종로구 삼청로 14 (사간동),37.577245641204,126.979787681186,11,110,VE,VE07,VE070600,2026-02-11T08:10:09+09:00,2026-08-02T04:22:59.960433+09:00
4025838,38,갤러리71,서울특별시 종로구 윤보선길 71 (화동) B1층,37.5791818260863,126.983293367928,11,110,SH,SH04,SH040300,2026-03-26T09:20:41+09:00,2026-08-02T04:22:59.960433+09:00
3012741,14,갤러리도스,서울특별시 종로구 삼청로7길 37 (팔판동),37.58375669438437,126.97978442719302,11,110,VE,VE07,VE070600,2026-03-19T17:46:20+09:00,2026-08-02T04:22:59.960433+09:00
130613,14,갤러리도올,서울특별시 종로구 삼청로 87 (팔판동) 2층,37.583277358,126.9816952556,11,110,VE,VE07,VE070600,2025-09-18T14:48:04+09:00,2026-08-02T04:22:59.960433+09:00
3056315,14,갤러리미르,서울특별시 종로구 율곡로1길 40 (사간동),37.577607775850424,126.98071540020727,11,110,VE,VE07,VE070600,2026-04-01T09:21:39+09:00,2026-08-02T04:22:59.960433+09:00
