content_id,title,content_type_id,change_type,changed_columns,previous_values_json,current_values_json,baseline_snapshot,compared_at
141661,수문장 교대의식,15,added,,,"{""content_id"": ""141661"", ""content_type_id"": ""15"", ""title"": ""수문장 교대의식"", ""address"": ""서울특별시 종로구 사직로 161 (세종로)"", ""latitude"": ""37.5801313447"", ""longitude"": ""126.9767073438"", ""area_code"": ""11"", ""district_code"": ""110"", ""lcls_systm1"": ""EV"", ""lcls_systm2"": ""EV02"", ""lcls_systm3"": ""EV020100"", ""source_modified_at"": ""2026-08-04 09:52:15+09:00"", ""list_fetched_at"": ""2026-08-08T13:36:04.996641+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
2511228,자문밖문화축제,15,removed,,"{""content_id"": ""2511228"", ""content_type_id"": ""15"", ""title"": ""자문밖문화축제"", ""address"": ""서울특별시 종로구 평창31길 5 (평창동) 자문밖문화포럼"", ""latitude"": ""37.6119989089"", ""longitude"": ""126.97558111"", ""area_code"": ""11"", ""district_code"": ""110"", ""lcls_systm1"": ""EV"", ""lcls_systm2"": ""EV01"", ""lcls_systm3"": ""EV010600"", ""source_modified_at"": ""2025-09-17T09:24:25+09:00"", ""list_fetched_at"": ""2026-08-02T04:22:59.960433+09:00""}",,places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
1380688,대학로예술극장,14,updated,source_modified_at,"{""source_modified_at"": ""2026-02-25T09:47:29+09:00""}","{""source_modified_at"": ""2026-08-03 13:38:51+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
1605942,한벽원미술관,14,updated,address|latitude|longitude|source_modified_at,"{""address"": ""서울특별시 종로구 삼청로 83"", ""latitude"": ""37.5829616419259"", ""longitude"": ""126.981509572186"", ""source_modified_at"": ""2026-02-11T08:10:09+09:00""}","{""address"": ""서울특별시 종로구 삼청로 83 (팔판동)"", ""latitude"": ""37.5828831211"", ""longitude"": ""126.9815635232"", ""source_modified_at"": ""2026-08-03 13:23:29+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
2455084,생명보험교육문화센터,12,updated,latitude|longitude|source_modified_at,"{""latitude"": ""37.5730284176"", ""longitude"": ""126.9743656585"", ""source_modified_at"": ""2025-04-10T14:26:15+09:00""}","{""latitude"": ""37.572976495"", ""longitude"": ""126.9743513025"", ""source_modified_at"": ""2026-08-05 16:39:31+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
2554814,정조대왕 능행차 공동재현,15,updated,source_modified_at,"{""source_modified_at"": ""2026-06-23T17:56:46+09:00""}","{""source_modified_at"": ""2026-08-04 09:52:46+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
2556687,문학주간2026 〈곁눈질〉,15,updated,title|source_modified_at,"{""title"": ""문학주간2026"", ""source_modified_at"": ""2026-07-02T14:40:20+09:00""}","{""title"": ""문학주간2026 〈곁눈질〉"", ""source_modified_at"": ""2026-08-04 09:53:30+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
2778428,청진옥,39,updated,latitude|longitude|source_modified_at,"{""latitude"": ""37.5717814321"", ""longitude"": ""126.9794791167"", ""source_modified_at"": ""2025-06-27T17:41:23+09:00""}","{""latitude"": ""37.571729605"", ""longitude"": ""126.9794631808"", ""source_modified_at"": ""2026-08-06 16:53:54+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
2782735,국립경찰박물관,14,updated,source_modified_at,"{""source_modified_at"": ""2026-03-12T09:08:40+09:00""}","{""source_modified_at"": ""2026-08-03 09:20:47+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
2783512,석파정 서울미술관,14,updated,latitude|longitude|source_modified_at,"{""latitude"": ""37.5948701151"", ""longitude"": ""126.96277443"", ""source_modified_at"": ""2025-03-14T17:07:43+09:00""}","{""latitude"": ""37.5948159817"", ""longitude"": ""126.9627603052"", ""source_modified_at"": ""2026-08-05 13:39:45+09:00""}",places_api_snapshot_20260802.csv,2026-08-08T13:36:04.996641+09:00
