content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,operating_hours_raw,rest_date_raw,operating_schedule,operating_parse_status,operating_parser_version,source_modified_at,list_fetched_at,detail_fetched_at,last_seen_at,detail_fetch_status,detail_error_code,is_active,inactive_reason,inactive_at,last_sync_run_id,created_at,updated_at,parking_info_raw,parking_fee_raw,use_fee_raw,discount_info_raw,first_image_url,thumbnail_url,info_center_raw,baby_carriage_raw,pet_raw,credit_card_raw,restroom_raw
1013527,38,"광장시장 한복매장","서울특별시 종로구 창경궁로 88 (예지동)",37.5702347233,126.9980663554,11,110,SH,SH06,SH060200,"09:00~18:00<br>※ 점포 별로 상이함","연중무휴<br>※ 점포 별로 상이함","{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""09:00~18:00"", ""time_ranges"": [{""end"": ""18:00"", ""start"": ""09:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2025-07-31 02:53:44+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.721834+00","2026-08-09 02:40:01.534897+00",가능,,,,http://tong.visitkorea.or.kr/cms/resource/80/1015080_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1015080_image3_1.jpg,,,,,
1013559,38,"동대문종합시장 액세서리상가","서울특별시 종로구 종로 266 (종로6가)",37.5709736927,127.0073349346,11,110,SH,SH05,SH050200,09:30~19:00,"매주 일요일","{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""09:30~19:00"", ""time_ranges"": [{""end"": ""19:00"", ""start"": ""09:30"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [{""weekdays"": [6], ""source_text"": ""매주 일요일""}], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2025-11-27 06:48:55+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.808988+00","2026-08-09 02:40:01.534897+00",가능,,,,http://tong.visitkorea.or.kr/cms/resource/11/3571811_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3571811_image2_1.jpg,,,,,
1013584,38,"동대문종합시장 한복상가","서울특별시 종로구 종로 266 (종로6가)",37.5709736927,127.0073349346,11,110,SH,SH06,SH060200,"08:00~18:00 <br> ※ 매장별 상이","매주 일요일 <br> ※ 혼수용품 일요일 자율영업","{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""08:00~18:00"", ""time_ranges"": [{""end"": ""18:00"", ""start"": ""08:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [{""weekdays"": [6], ""source_text"": ""매주 일요일""}], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2025-12-23 05:52:52+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.808988+00","2026-08-09 02:40:01.534897+00",,,,,http://tong.visitkorea.or.kr/cms/resource/19/1015219_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1015219_image3_1.jpg,,,,,
1018469,15,서울국제작가축제,"서울특별시 종로구 인사동9길 26 (견지동)",37.5734199329,126.9836265705,11,110,EV,EV03,EV030400,"프로그램 별 상이",,"{""rules"": [], ""warnings"": [""운영시간을 구조화하지 못했습니다.""], ""availability"": ""unknown"", ""closure_rules"": [], ""assumption_reason"": null}",partial,operating-hours-1.2.0,"2026-06-15 07:51:04+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.955853+00","2026-08-09 02:40:01.534897+00",,,무료,,https://tong.visitkorea.or.kr/cms/resource/69/4073769_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/69/4073769_image3_1.jpg,,,,,
1018855,39,"달 카페","서울특별시 종로구 삼청로 94-1",37.5837782184497,126.982031720136,11,110,FD,FD05,FD050100,"- 월요일~금요일 10:00~17:30- 토요일~일요일 10:00~18:00",연중무휴,"{""rules"": [{""months"": null, ""weekdays"": [0, 1, 2, 3, 4], ""source_text"": "" 10:00~17:30- "", ""time_ranges"": [{""end"": ""17:30"", ""start"": ""10:00"", ""crosses_midnight"": false}], ""last_admission"": null}, {""months"": null, ""weekdays"": [5, 6], ""source_text"": "" 10:00~18:00"", ""time_ranges"": [{""end"": ""18:00"", ""start"": ""10:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-02-06 08:40:24+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.808988+00","2026-08-09 02:40:01.534897+00",불가능,,,,,,,,,,
1019041,12,와룡공원,"서울특별시 종로구 와룡공원길 192",37.5912265856,126.9901581479,11,110,VE,VE03,VE030100,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2025-04-17 00:21:52+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.225101+00","2026-08-09 02:40:01.534897+00",불가능,,,,http://tong.visitkorea.or.kr/cms/resource/93/1395493_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1395493_image3_1.jpg,,,,,
1019223,38,한지추억,"서울특별시 종로구 인사동7길 6 (관훈동) 3층",37.5731706271439,126.985784209044,11,110,SH,SH05,SH050100,,,"{""rules"": [], ""warnings"": [], ""availability"": ""unknown"", ""closure_rules"": [], ""assumption_reason"": null}",unknown,operating-hours-1.2.0,"2026-01-19 06:49:49+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",empty,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.44801+00","2026-08-09 02:40:01.534897+00",,,,,https://tong.visitkorea.or.kr/cms/resource/39/4001339_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/39/4001339_image3_1.jpg,,,,,
1019294,14,"서울특별시교육청 정독도서관","서울특별시 종로구 북촌로5길 48",37.5797611278,126.9832368815,11,110,VE,VE09,VE090300,"[인문사회자연과학실, 어문학·족보실]<br>
- 평일 09:00~20:00<br>
- 주말 09:00~17:00<br>
[어린이실, 청소년관, 다국어·연속간행물실, 디지털자료실, 서울교육박물관]<br>
- 평일 09:00~18:00<br>
- 주말 09:00~17:00 <br>
[자율학습실, 노트북실]<br>
- 하절기 (3월~10월) 07:00~22:00<br>
- 동절기 (11월~2월) 08:00~22:00","매월 첫째, 셋째 수요일 / 일요일을 제외한 법정공휴일 (단, 공휴일과 일요일이 겹칠 경우 휴관) / 도서관 사정으로 임시로 정하는 휴일","{""rules"": [{""months"": null, ""weekdays"": [0, 1, 2, 3, 4], ""source_text"": "" 09:00~20:00"", ""time_ranges"": [{""end"": ""20:00"", ""start"": ""09:00"", ""crosses_midnight"": false}], ""last_admission"": null}, {""months"": null, ""weekdays"": [5, 6], ""source_text"": "" 09:00~17:00"", ""time_ranges"": [{""end"": ""17:00"", ""start"": ""09:00"", ""crosses_midnight"": false}], ""last_admission"": null}, {""months"": null, ""weekdays"": [0, 1, 2, 3, 4], ""source_text"": "" 09:00~18:00"", ""time_ranges"": [{""end"": ""18:00"", ""start"": ""09:00"", ""crosses_midnight"": false}], ""last_admission"": null}, {""months"": null, ""weekdays"": [5, 6], ""source_text"": "" 09:00~17:00"", ""time_ranges"": [{""end"": ""17:00"", ""start"": ""09:00"", ""crosses_midnight"": false}], ""last_admission"": null}, {""months"": [3, 4, 5, 6, 7, 8, 9, 10], ""weekdays"": null, ""source_text"": ""- 하절기 (3월~10월) 07:00~22:00"", ""time_ranges"": [{""end"": ""22:00"", ""start"": ""07:00"", ""crosses_midnight"": false}], ""last_admission"": null}, {""months"": [1, 2, 11, 12], ""weekdays"": null, ""source_text"": ""- 동절기 (11월~2월) 08:00~22:00"", ""time_ranges"": [{""end"": ""22:00"", ""start"": ""08:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [""휴무 문구의 일부 예외를 구조화하지 못했습니다.""], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",partial,operating-hours-1.2.0,"2025-12-11 00:15:24+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.955853+00","2026-08-09 02:40:01.534897+00","가능 (54대)<br>※ 대형버스 25인승 초과 차량 주차 불가","무료주차 확인자에 한하여 60분까지 무료 (단, 1일 1회에 한함) / 60분 후 5분 초과 시 마다 250원씩 가산 / 1일 최대 30,000원<br>
※60분 무료주차의 경우 도서대출반납자, 평생학습교실 참여자, 교육·연수참석자에게만 적용 (자율학습실 이용자는 제외)<br>
※주차 할인<br>
- 장애인, 국가유공자 등 80% / 저공해, 다둥이 등 50%",무료,,http://tong.visitkorea.or.kr/cms/resource/66/3510466_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3510466_image3_1.jpg,,,,,
1036894,28,"[북악하늘길 1산책로] 북악팔각정~말바위쉼터","서울특별시 종로구 북악산로 267 (평창동)",37.6019731946347,126.980550789268,11,110,LS,LS01,LS011900,,,"{""rules"": [], ""warnings"": [], ""availability"": ""unknown"", ""closure_rules"": [], ""assumption_reason"": null}",unknown,operating-hours-1.2.0,"2026-02-24 09:24:58+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",empty,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.44801+00","2026-08-09 02:40:01.534897+00",,,,,,,,,,,
1037027,28,"[북악하늘길 3산책로] 북카페~숲속다리","서울특별시 성북구 성북동",37.6068219183,126.9858969827,11,110,LS,LS01,LS011900,,,"{""rules"": [], ""warnings"": [], ""availability"": ""unknown"", ""closure_rules"": [], ""assumption_reason"": null}",unknown,operating-hours-1.2.0,"2025-04-03 06:30:11+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",empty,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.44801+00","2026-08-09 02:40:01.534897+00",,,,,http://tong.visitkorea.or.kr/cms/resource/33/1868133_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/1868133_image3_1.jpg,,,,,
