content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
2591755,남구로시장,남구로시장,,"[""남구로시장""]",[],matched,exact,1.0000,
2591792,개봉유수지 생태공원,개봉 유수지,유수지,"[""유수지"", ""개봉""]",[],matched,manual,1.0000,
2591797,고척근린공원,고척근린공원,,"[""고척근린공원""]",[],matched,exact,1.0000,
2591799,고척동 고인돌,고척동 고인돌,고인돌,"[""고인돌"", ""고척동""]",[],matched,exact,1.0000,
2591803,구로기계공구단지,구로기계공구단지,,"[""구로기계공구단지""]",[],matched,exact,1.0000,
2591805,국제음식문화거리(INTERNATIONAL FOOD STREET),국제음식문화거리(INTERNATIONAL FOOD STREET),국제음식문화거리,"[""국제음식문화거리"", ""FOOD""]",[],matched,exact,1.0000,
2591809,궁동저수지 생태공원,궁동저수지 생태공원,궁동저수지,"[""궁동저수지"", ""생태공원""]",[],matched,exact,1.0000,
2591813,류순정·류홍 부자 묘역,류순정·류홍 부자 묘역,류순정·류홍,"[""류순정·류홍"", ""묘역"", ""부자""]",[],matched,exact,1.0000,
2591819,여계묘역,여계묘역,,"[""여계묘역""]",[],matched,exact,1.0000,
2591826,음식문화특화거리(깔깔거리),음식문화특화거리(깔깔거리),,"[""음식문화특화거리(깔깔거리)"", ""음식문화특화거리""]",[],matched,exact,1.0000,
2591833,정선옹주 묘역,정선옹주 묘역,정선옹주,"[""정선옹주"", ""묘역""]",[],matched,exact,1.0000,
2591838,천왕근린공원,천왕근린공원,,"[""천왕근린공원""]",[],matched,exact,1.0000,
2675098,푸른수목원,푸른수목원,,"[""푸른수목원""]",[],matched,exact,1.0000,
2733966,거리공원,거리공원,,"[""거리공원""]",[],matched,exact,1.0000,
2743854,고척근린시장,고척근린시장,,"[""고척근린시장""]",[],matched,exact,1.0000,
2751303,서울특별시교육청 융합과학교육원 남부분원,서울특별시교육청과학전시관 남부분관,서울특별시교육청과학전시관,"[""서울특별시교육청과학전시관"", ""남부분관""]",[],matched,manual,1.0000,
2758193,개봉중앙시장,개봉중앙시장,,"[""개봉중앙시장""]",[],matched,exact,1.0000,
2758198,가리봉시장,가리봉시장,,"[""가리봉시장""]",[],matched,exact,1.0000,
2773287,삼각어린이공원,삼각어린이공원,,"[""삼각어린이공원""]",[],matched,exact,1.0000,
814255,온수공원,온수공원,,"[""온수공원""]",[],matched,exact,1.0000,
