content_id,title,중분류,소분류,latitude,longitude
seongdong_001,가조쿠,외국식,일식,37.543283,127.053134
seongdong_002,감탄로드 여행가챠 팝업스토어,행사,기타행사,37.543303,127.055023
seongdong_003,계월,한식,관광식당,37.539617,127.047652
seongdong_004,계자람,한식,관광식당,37.537806,127.055170
seongdong_005,고기다,한식,관광식당,37.548174,127.053250
seongdong_006,고운 돈카츠,외국식,서양식,37.544752,127.054243
seongdong_007,광야 서울,전문매장/상가,전문상가,37.544155,127.043358
seongdong_008,구욱희씨,간이음식,제과,37.547163,127.041891
seongdong_009,구펠,카페/ 찻집,카페,37.548413,127.047013
seongdong_010,국가유산체험센터,전시시설,전시관,37.546627,127.049635
seongdong_011,굿러너컴퍼니,면세점,사후면세점,37.548144,127.042817
seongdong_012,그라데이션커피,카페/ 찻집,카페,37.550599,127.050309
seongdong_013,그린랩,카페/ 찻집,카페,37.546902,127.040594
seongdong_014,금남시장,시장,상설시장,37.548507,127.022729
seongdong_015,기미사 성수,카페/ 찻집,카페,37.545134,127.062772
seongdong_016,기후,외국식,일식,37.540673,127.056148
seongdong_017,꾸아 성수점,외국식,기타외국식,37.546174,127.044929
seongdong_018,나이스고스트클럽 성수,면세점,사후면세점,37.542501,127.053469
seongdong_019,난포,한식,관광식당,37.547108,127.042691
seongdong_020,논픽션 성수,면세점,사후면세점,37.543849,127.050422
seongdong_021,누메로도스,외국식,서양식,37.546419,127.047351
seongdong_022,누메로뜨레쓰,외국식,서양식,37.542589,127.048693
seongdong_023,뉴뉴 성수점,면세점,사후면세점,37.541376,127.059404
seongdong_024,뉴뉴랩 성수점,면세점,사후면세점,37.541376,127.059404
seongdong_025,뉴발란스 직영성수점,면세점,사후면세점,37.543338,127.052066
seongdong_026,니드스윗,카페/ 찻집,카페,37.549044,127.045710
seongdong_027,다니엘트루스 퍼퓸하우스 성수,면세점,사후면세점,37.541318,127.058020
seongdong_028,다이소 답십리점,면세점,사후면세점,37.565225,127.054234
seongdong_029,다이소 뚝섬역점,면세점,사후면세점,37.547694,127.045124
seongdong_030,다이소 비트플렉스 왕십리역점,면세점,사후면세점,37.561442,127.038394
seongdong_031,다이소 상왕십리역점,면세점,사후면세점,37.564298,127.028639
seongdong_032,단일서울,카페/ 찻집,카페,37.543086,127.045516
seongdong_033,달맞이근린공원,도시공원,시민공원,37.543400,127.021000
seongdong_034,대도식당 왕십리본점,한식,관광식당,37.567273,127.030600
seongdong_035,대돈집,한식,관광식당,37.548671,127.045615
seongdong_036,대성갈비,한식,관광식당,37.546247,127.048449
seongdong_037,대현산배수지공원·대현산배수지공원 모노레일,도시공원,시민공원,37.556468,127.020801
seongdong_038,대흥정육식당,한식,관광식당,37.539100,127.043985
seongdong_039,더 기어샵 성수,면세점,사후면세점,37.544655,127.051779
seongdong_040,더뮤지엄비지터,면세점,사후면세점,37.549104,127.053803
seongdong_041,더서울라이티움,전시시설,전시관,37.545525,127.043260
seongdong_042,더페이지갤러리,전시시설,미술관/화랑,37.545525,127.043260
seongdong_043,데우스엑스마키나 성수점,면세점,사후면세점,37.540958,127.059523
seongdong_044,드롭드롭드롭,면세점,사후면세점,37.540857,127.060230
seongdong_045,디뮤지엄,전시시설,박물관,37.544536,127.043288
seongdong_046,디에이치 성수포레,호스텔,게스트하우스,37.546449,127.046610
seongdong_047,디올 성수,기타쇼핑시설,기타쇼핑시설,37.544037,127.052480
seongdong_048,땅코참숯구이 본점,한식,관광식당,37.560736,127.033044
seongdong_049,뚝도 아리수 정수센터,산업관광,기타산업관광지,37.539840,127.042293
