content_id,title,중분류,소분류,latitude,longitude
yongsan_001,이태원 앤틱 가구거리,도시.지역문화관광,"골목길, 문화거리",37.533517,126.994334
yongsan_002,패션5(Passion 5),카페/ 찻집,카페,37.538712,127.002075
yongsan_003,국립중앙박물관 어린이박물관,전시시설,박물관,37.524013,126.980345
yongsan_004,이태원시장,시장,상설시장,37.533883,126.990079
yongsan_005,용산가족공원,도시공원,주제공원,37.520046,126.983266
yongsan_006,새남터기념성당,종교성지,기독교,37.524904,126.956703
yongsan_007,남산서울타워,랜드마크관광,타워 / 전망대,37.551055,126.987882
yongsan_008,당고개순교성지,종교성지,기독교,37.535577,126.966995
yongsan_009,이태원 관광특구,복합관광시설,관광단지,37.533924,126.990655
yongsan_010,옛 용산신학교와 원효로 예수성심성당,종교성지,기독교,37.533477,126.954496
yongsan_011,서울 효창공원,도시공원,주제공원,37.544509,126.961877
yongsan_012,국립중앙박물관,전시시설,박물관,37.521117,126.979112
yongsan_013,숙명여자대학교 박물관,전시시설,박물관,37.545883,126.964546
yongsan_014,서울특별시교육청 남산도서관,교육시설,도서관,37.552453,126.981366
yongsan_015,서울특별시교육청 용산도서관,교육시설,도서관,37.551989,126.980127
yongsan_016,용산문화원,교육시설,한국문화원,37.533455,126.952185
yongsan_017,전쟁기념관,전시시설,기념관,37.537327,126.978439
yongsan_018,백범김구기념관,전시시설,기념관,37.544331,126.959268
yongsan_019,리움미술관,전시시설,미술관/화랑,37.538549,126.998493
yongsan_020,갤러리에스피,전시시설,미술관/화랑,37.538363,126.994312
yongsan_021,박여숙화랑,전시시설,미술관/화랑,37.544152,126.990268
yongsan_022,백해영갤러리,전시시설,미술관/화랑,37.536456,126.994843
yongsan_023,어반아트,전시시설,미술관/화랑,37.542488,126.992795
yongsan_024,주한독일문화원,교육시설,외국문화원,37.550718,126.982691
yongsan_025,그랜드하얏트 서울 아이스링크,육상레저스포츠,스케이트,37.540430,126.996863
yongsan_026,용산전자랜드,전문매장/상가,전문상가,37.532766,126.959640
yongsan_027,해밀톤 쇼핑센터,쇼핑몰,복합쇼핑몰,37.534686,126.993893
yongsan_028,유진막국수,한식,관광식당,37.528434,126.992371
yongsan_029,한쿡 N서울타워,한식,관광식당,37.551055,126.987882
yongsan_030,챠크라,외국식,기타외국식,37.534490,127.009686
yongsan_031,니와,외국식,일식,37.520711,126.974479
yongsan_032,더플레이스다이닝,외국식,서양식,37.551109,126.987898
yongsan_033,엔그릴,외국식,서양식,37.551116,126.987860
yongsan_034,그랜드 하얏트 서울,호텔,호텔,37.539601,126.997451
yongsan_035,해밀톤 호텔,호텔,호텔,37.534740,126.993735
yongsan_036,임피리얼 팰리스 부티크 호텔,호텔,호텔,37.535417,126.998245
yongsan_037,블루스퀘어,공연시설,공연장,37.540872,127.002487
yongsan_038,서빙고동 부군당,종교성지,기타 종교성지,37.520521,126.993193
yongsan_039,남산 야외식물원,자연공원,수목원ㆍ정원,37.542600,126.994900
yongsan_040,국립중앙박물관 전통염료식물원,자연공원,수목원ㆍ정원,37.521171,126.979128
yongsan_041,서울학도병참전기념비,역사유물,탑ㆍ비석ㆍ기념탑,37.545909,126.978777
yongsan_042,의열사(용산),역사유적지,사당,37.545265,126.960543
yongsan_043,레인보우호텔,모텔,모텔,37.541439,126.972141
yongsan_044,이봉창 의사 동상,랜드마크관광,동상,37.544671,126.960576
yongsan_045,이원등 상사상,랜드마크관광,동상,37.517418,126.959282
yongsan_046,케르반 레스토랑,외국식,기타외국식,37.534362,126.995387
yongsan_047,문배동 육칼,한식,관광식당,37.536596,126.970328
yongsan_048,서해금빛열차,기타체험,기타체험관광,37.529772,126.964741
yongsan_049,포포인츠 바이 쉐라톤 조선 서울역,호텔,호텔,37.551124,126.972911
yongsan_050,플랜트,외국식,퓨전음식,37.533214,126.994248
yongsan_051,기와,한식,관광식당,37.527756,126.964071
